City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Hobart,AU,-42.8794,147.3294,53.46,85,75,6.91,broken clouds
79,Ulaanbaatar,MN,47.9077,106.8832,69.93,60,40,2.24,scattered clouds
80,Cape Town,ZA,-33.9258,18.4232,55.38,74,0,5.75,clear sky
81,Nikolskoye,RU,59.7035,30.7861,57.79,83,12,10.67,few clouds
82,Katsuura,JP,35.1333,140.3,69.82,82,100,14.83,light rain
83,La Ronge,CA,55.1001,-105.2842,59.25,77,75,5.75,broken clouds
84,Wairoa,NZ,-39.0333,177.3667,60.55,56,99,3.0,overcast clouds
85,Copiapo,CL,-27.3667,-70.3333,51.49,94,100,0.92,overcast clouds
86,Husavik,IS,66.0449,-17.3389,48.11,84,95,4.97,overcast clouds
87,Srednekolymsk,RU,67.45,153.6833,70.12,20,17,11.72,few clouds
88,Esperance,AU,-33.8667,121.9,65.73,55,0,7.45,clear sky
89,Hodal,IN,27.9,77.3667,106.12,25,3,8.99,clear sky
90,San Patricio,US,28.017,-97.5169,83.84,82,99,15.1,overcast clouds
91,Jieshi,CN,22.8134,115.8257,82.22,81,100,12.08,light rain
92,Severo-Kurilsk,RU,50.6789,156.125,49.77,82,99,7.54,overcast clouds
93,Avarua,CK,-21.2078,-159.775,77.05,78,11,5.75,few clouds
94,Khatanga,RU,71.9667,102.5,70.59,30,73,10.4,broken clouds
95,Tiznit,MA,29.5833,-9.5,67.3,68,40,2.26,scattered clouds
96,Bone,DE,51.9669,12.1396,60.82,77,95,8.39,overcast clouds
97,Klaksvik,FO,62.2266,-6.589,49.12,96,96,7.65,overcast clouds
98,Port Alfred,ZA,-33.5906,26.891,47.17,74,32,5.01,scattered clouds
99,Kaka,TM,37.3482,59.6143,88.9,27,27,7.36,light rain
100,Kodiak,US,57.79,-152.4072,54.91,76,75,3.44,broken clouds
101,Sobolevo,RU,54.4299,31.8996,54.77,79,0,10.09,clear sky
102,Severnyy,RU,50.677,36.5532,60.84,63,0,8.95,clear sky
103,Yulara,AU,-25.2406,130.9889,70.29,32,10,5.88,clear sky
104,Pevek,RU,69.7008,170.3133,35.31,80,16,7.7,few clouds
105,Novichikha,RU,52.204,81.3877,68.58,54,67,13.09,light rain
106,Bilibino,RU,68.0546,166.4372,58.98,24,1,3.76,clear sky
107,Bethel,US,41.3712,-73.414,66.36,85,75,0.0,broken clouds
108,Patiya,BD,22.2931,91.9762,80.55,94,100,4.61,overcast clouds
109,Andros Town,BS,24.7,-77.7667,82.36,72,60,11.5,broken clouds
110,Souillac,MU,-20.5167,57.5167,73.78,83,20,10.36,few clouds
111,Mahebourg,MU,-20.4081,57.7,75.25,83,20,10.36,few clouds
112,Monrovia,LR,6.3005,-10.7969,76.5,87,96,11.27,moderate rain
113,Norman Wells,CA,65.282,-126.8329,60.84,48,40,2.3,scattered clouds
114,Bernau,DE,52.6798,13.5871,60.62,62,99,6.96,overcast clouds
115,Lorengau,PG,-2.0226,147.2712,85.44,67,96,9.46,overcast clouds
116,Saint George,US,37.1041,-113.5841,90.19,18,0,5.75,clear sky
117,Cukai,MY,4.25,103.4167,91.35,60,100,6.24,overcast clouds
118,Ban Tak,TH,17.0432,99.0813,93.22,43,86,3.02,overcast clouds
119,Nienburg,DE,52.6333,9.2167,58.28,79,99,6.24,overcast clouds
