City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
170,Lucapa,AO,60.15,scattered clouds,-8.4192,20.7447,Lírio Mendes
171,Vilyuysk,RU,69.66,broken clouds,63.7553,121.6247,Gostinitsa Viliuisk
179,Thompson,CA,57.36,broken clouds,55.7435,-97.8558,Burntwood Hotel
180,Tete,MZ,57.29,few clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
183,Tasiilaq,GL,41.16,overcast clouds,65.6145,-37.6368,The Red House
186,San Vicente,AR,51.78,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
188,Leningradskiy,RU,40.46,overcast clouds,69.3833,178.4167,Gostinitsa
191,Ponta Do Sol,PT,67.01,scattered clouds,32.6667,-17.1,Hotel do Campo
192,Zonguldak,TR,61.47,few clouds,41.25,31.8333,Yazioren Koyu Muhtarligi
193,Guerrero Negro,MX,63.0,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
194,Yellowknife,CA,59.56,overcast clouds,62.456,-114.3525,The Explorer Hotel
195,Vardo,NO,40.98,light rain,70.3705,31.1107,Vardø Hotel AS
198,Portland,US,65.08,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
199,Constitucion,CL,49.59,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
201,Hualmay,PE,60.6,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
209,Vila Velha,BR,64.94,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
211,Heswall,GB,53.44,broken clouds,53.3273,-3.0965,Thornton Hall Hotel & Spa
217,Barcelos,PT,66.34,broken clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
223,Lata,PT,60.01,broken clouds,40.1629,-8.3327,Casa Maquia
225,Muros,ES,67.84,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
226,Cidreira,BR,57.42,clear sky,-30.1811,-50.2056,Hotel Castelo
228,San Quintin,MX,62.46,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
233,Watsa,CD,64.96,overcast clouds,3.0372,29.5355,Hôtel Le Pacifique
234,New Norfolk,AU,53.1,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
235,Ribeira Grande,PT,64.99,few clouds,38.5167,-28.7,Quinta da Meia Eira
237,Chuy,UY,51.76,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
238,Mosquera,CO,53.69,broken clouds,4.7059,-74.2302,Hotel SJ
239,Parana,AR,59.56,light rain,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
240,Burns Lake,CA,60.22,overcast clouds,54.2331,-125.7533,Burns Lake Bed and Breakfast
241,Nome,US,44.67,overcast clouds,64.5011,-165.4064,Dredge 7 Inn
243,Lozuvatka,UA,65.03,scattered clouds,48.0571,33.2858,Richka
245,Talara,PE,64.8,clear sky,-4.5772,-81.2719,Hostal Oro Negro
251,Rezh,RU,66.04,overcast clouds,57.37,61.4043,hotel Harbor
253,Chantada,ES,63.7,scattered clouds,42.6088,-7.7712,Mogay
254,Olavarria,AR,43.02,overcast clouds,-36.8927,-60.3225,Hotel Santa Rosa
255,Pisco,PE,58.01,smoke,-13.7,-76.2167,Hotel San Isidro Oficial
256,Havre-Saint-Pierre,CA,51.8,clear sky,50.2334,-63.5986,Auberge Niapiskau
257,Anadyr,RU,57.7,scattered clouds,64.75,177.4833,Отке17.ру — жильё для командированных
260,Torbay,CA,40.39,few clouds,47.6666,-52.7314,Gallows Cove
261,Zherdevka,RU,60.28,light rain,51.8486,41.4606,Юнона
264,Mandan,US,61.95,overcast clouds,46.8267,-100.8896,Twin City Estates
266,Sembabule,UG,66.72,broken clouds,-0.0772,31.4567,Rainbow Motel ( Sembabule )
267,Kushiro,JP,58.15,fog,42.975,144.3747,Toyoko Inn Kushiro Jujigai
269,Richards Bay,ZA,54.41,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
271,Lianran,CN,66.74,overcast clouds,24.9227,102.485,半岛酒店
274,Haines Junction,CA,58.39,light rain,60.7522,-137.5108,Parkside Inn
276,Isetskoye,RU,69.89,few clouds,56.4858,65.3226,"Belyye Rosy, Gostinitsa"
277,Gergebil,RU,69.44,light rain,42.5047,47.0661,"Gostevoy Dom ""Khonobakh"""
279,Praia Da Vitoria,PT,62.85,scattered clouds,38.7333,-27.0667,Hotel Branco I
280,Bakchar,RU,61.36,light rain,57.0186,82.0711,Gostinitsa Gostevoy Dom
284,Junin,AR,50.27,clear sky,-34.5838,-60.9433,Hotel Copahue
289,Strezhevoy,RU,62.51,light rain,60.7333,77.5889,Sibiryachka
291,Coihaique,CL,42.75,scattered clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
296,Lebu,CL,48.67,broken clouds,-37.6167,-73.65,Hostal Las Lilas
300,Namwala,ZM,54.36,clear sky,-15.7504,26.4384,Corner Point Lodge
302,Houlton,US,59.72,clear sky,46.1262,-67.8403,Ivey's Motor Lodge Houlton
303,Ciechocinek,PL,56.66,overcast clouds,52.8791,18.7951,Pałac Łazienki II
306,Lagoa,PT,63.3,few clouds,39.05,-27.9833,Casa Das Faias
