City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kruisfontein,ZA,-34.0033,24.7314,48.88,38,100,7.72,overcast clouds
80,Meridian,US,43.6121,-116.3915,81.72,36,0,16.11,clear sky
81,Hofn,IS,64.2539,-15.2082,49.08,84,100,13.09,overcast clouds
82,Bengkulu,ID,-3.8004,102.2655,81.18,72,100,2.3,overcast clouds
83,Kristinehamn,SE,59.3098,14.1081,52.36,92,62,1.83,broken clouds
84,Leh,IN,34.1667,77.5833,52.7,51,100,4.61,overcast clouds
85,Port Macquarie,AU,-31.4333,152.9167,67.89,44,0,4.56,clear sky
86,Bredasdorp,ZA,-34.5322,20.0403,50.94,45,89,5.59,overcast clouds
87,Dabhol,IN,17.6,73.1667,79.74,82,100,4.32,overcast clouds
88,Vaini,TO,-21.2,-175.2,80.76,74,40,10.36,scattered clouds
89,Pitimbu,BR,-7.4706,-34.8086,73.99,93,22,9.75,few clouds
90,Alofi,NU,-19.0595,-169.9187,80.49,74,75,16.11,broken clouds
91,Arraial Do Cabo,BR,-22.9661,-42.0278,69.22,77,0,17.76,clear sky
92,Tommot,RU,58.9564,126.2925,67.14,62,100,6.13,light rain
93,Dikson,RU,73.5069,80.5464,32.25,93,100,10.02,overcast clouds
94,Esperance,AU,-33.8667,121.9,66.51,72,0,16.35,clear sky
95,Dondaicha,IN,21.3333,74.5667,83.66,68,66,12.41,broken clouds
96,Noumea,NC,-22.2763,166.4572,75.99,99,99,5.12,moderate rain
97,Nizhniy Baskunchak,RU,48.2198,46.8311,65.71,78,20,9.86,few clouds
98,Avera,US,33.194,-82.5271,86.05,52,7,8.25,clear sky
99,Tuktoyaktuk,CA,69.4541,-133.0374,48.6,55,2,10.65,clear sky
100,Georgetown,MY,5.4112,100.3354,82.33,78,20,2.3,few clouds
101,Nikolskoye,RU,59.7035,30.7861,55.87,75,100,6.31,overcast clouds
102,Srednekolymsk,RU,67.45,153.6833,65.73,19,9,9.66,clear sky
103,Mundo Nuevo,MX,18.7,-95.5,81.25,75,0,12.33,clear sky
104,Nouadhibou,MR,20.931,-17.0347,66.67,83,0,27.16,clear sky
105,Port Alfred,ZA,-33.5906,26.891,54.0,60,44,12.24,scattered clouds
106,Sao Filipe,CV,14.8961,-24.4956,73.94,85,63,5.61,broken clouds
107,San Andres,CO,12.5847,-81.7006,77.02,94,75,2.3,broken clouds
108,Makakilo City,US,21.3469,-158.0858,80.35,70,40,14.97,scattered clouds
109,Damietta,EG,31.4165,31.8133,75.11,76,0,11.61,clear sky
110,Garowe,SO,8.4054,48.4845,75.87,63,100,20.11,overcast clouds
111,Victoria,HK,22.2855,114.1577,87.85,79,100,17.0,overcast clouds
112,Olafsvik,IS,64.8945,-23.7142,48.97,79,100,11.12,overcast clouds
113,Madras,IN,13.0878,80.2785,85.98,81,20,6.91,mist
114,Ust-Nera,RU,64.5667,143.2,59.38,60,93,6.02,overcast clouds
115,Aksu,CN,41.1231,80.2644,79.47,14,90,9.78,overcast clouds
116,Kaspiysk,RU,42.8816,47.6392,75.24,60,5,11.01,clear sky
117,Havre-Saint-Pierre,CA,50.2334,-63.5986,58.53,74,100,11.79,overcast clouds
118,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,19.57,scattered clouds
119,Flin Flon,CA,54.7682,-101.865,56.05,68,91,9.35,overcast clouds
120,Hambantota,LK,6.1241,81.1185,79.66,81,100,14.07,overcast clouds
121,Sabha,LY,27.0377,14.4283,75.58,28,0,9.78,clear sky
122,Umm Lajj,SA,25.0213,37.2685,80.96,70,0,6.17,clear sky
123,Tepelene,AL,40.2958,20.0192,66.79,82,0,0.89,clear sky
124,Vila Franca Do Campo,PT,37.7167,-25.4333,69.19,93,14,4.43,few clouds
125,Wajid,SO,3.8093,43.2471,70.14,84,82,13.76,broken clouds
126,Leningradskiy,RU,69.3833,178.4167,38.44,70,89,9.75,overcast clouds
127,Ribeira Grande,PT,38.5167,-28.7,66.9,89,0,2.91,clear sky
128,Tessalit,ML,20.1986,1.0114,80.01,58,100,16.08,light rain
129,Geraldton,AU,-28.7667,114.6,66.61,94,75,25.32,heavy intensity rain
130,Hamilton,US,39.1834,-84.5333,84.83,79,0,6.91,clear sky
131,Bilma,NE,18.6853,12.9164,89.06,26,1,8.84,clear sky
132,Longyearbyen,SJ,78.2186,15.6401,39.04,75,75,6.91,broken clouds
133,Souillac,MU,-20.5167,57.5167,66.58,94,20,5.75,few clouds
134,Ayan,RU,56.45,138.1667,45.21,88,69,9.44,broken clouds
135,Nishihara,JP,26.1842,127.7558,82.06,89,100,17.27,overcast clouds
136,Haskovo,BG,41.9403,25.5694,56.82,67,0,0.4,clear sky
137,Karaton,ID,-6.3424,106.1045,77.72,85,100,2.33,light rain
138,Quatre Cocos,MU,-20.2078,57.7625,70.09,73,1,7.16,clear sky
139,Kapit,MY,2.0167,112.9333,81.03,80,89,0.83,overcast clouds
140,Ostrovnoy,RU,68.0531,39.5131,40.41,98,100,15.35,overcast clouds
141,Maragogi,BR,-9.0122,-35.2225,74.34,86,100,7.96,overcast clouds
142,Chimoio,MZ,-19.1164,33.4833,55.71,95,36,2.91,scattered clouds
143,Filottrano,IT,43.4355,13.3514,72.54,20,10,3.22,clear sky
144,Batsfjord,NO,70.6345,29.7185,40.93,87,100,12.66,overcast clouds
145,Goderich,CA,43.7501,-81.7165,64.65,82,0,16.6,clear sky
146,Celestun,MX,20.8667,-90.4,79.29,80,40,14.76,scattered clouds
147,Nanortalik,GL,60.1432,-45.2371,37.9,86,96,5.75,overcast clouds
148,Kyzyl-Suu,KG,42.3414,78.0056,57.52,63,3,1.43,clear sky
149,Toshkivka,UA,48.7791,38.579,57.34,74,45,2.3,scattered clouds
150,Luwuk,ID,-0.9516,122.7875,84.87,69,20,5.08,few clouds
151,Cockburn Town,TC,21.4612,-71.1419,80.56,83,40,9.22,scattered clouds
152,Byron Bay,AU,-28.65,153.6167,68.94,49,0,7.11,clear sky
153,Faya,SA,18.3851,42.4509,63.12,30,1,4.65,clear sky
154,Lebu,CL,-37.6167,-73.65,50.25,83,94,5.73,overcast clouds
155,Abapo,BO,-18.8333,-63.4667,58.19,71,0,2.71,clear sky
156,Sitka,US,57.0531,-135.33,70.48,45,40,5.28,scattered clouds
157,Nicoya,CR,10.1483,-85.452,73.63,91,100,3.31,overcast clouds
158,Uvarovo,RU,51.9849,42.2615,53.26,93,3,6.04,clear sky
159,Itoman,JP,26.1247,127.6694,82.78,89,75,17.27,broken clouds
160,Provideniya,RU,64.3833,-173.3,44.71,81,20,11.18,few clouds
161,Canon City,US,38.441,-105.2424,88.02,22,0,10.36,clear sky
162,Altay,CN,47.8667,88.1167,67.06,38,86,5.97,overcast clouds
163,Esil,KZ,51.9556,66.4042,69.44,56,90,3.33,overcast clouds
164,Norman Wells,CA,65.282,-126.8329,65.39,31,34,6.67,scattered clouds
165,Lom Sak,TH,16.7798,101.2422,84.4,70,74,4.38,broken clouds
166,Kloulklubed,PW,7.0419,134.2556,84.7,68,100,5.01,overcast clouds
167,Abu Dhabi,AE,24.4667,54.3667,86.97,76,6,8.55,clear sky
168,Srivardhan,IN,18.0333,73.0167,81.5,81,98,5.66,overcast clouds
169,Labuhan,ID,-6.8844,112.2051,82.94,76,55,7.4,broken clouds
170,Lasa,IT,46.6166,10.7002,57.36,88,4,6.24,clear sky
171,Cherskiy,RU,68.75,161.3,56.34,31,51,10.87,broken clouds
172,Segovia,ES,41.1667,-4.0,68.43,38,100,9.37,overcast clouds
